epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.445133,0.90678,4.23321,1.47089,0.01745,0.59259,0.02918,0.00507,0.63728,3.98347,1.19139,0,0,0
2,0.66267,1.02033,4.18545,1.53014,0.01673,0.59259,0.02533,0.00433,0.63035,3.98374,1.19531,7.66462e-06,7.66462e-06,7.66462e-06
3,0.873111,0.84073,4.06043,1.37591,0.01596,0.61111,0.02462,0.00444,0.62848,3.98216,1.19775,1.52785e-05,1.52785e-05,1.52785e-05
4,1.0902,1.10669,4.0573,1.53772,0.01394,0.59259,0.02841,0.00628,0.55015,3.98037,1.15048,2.28416e-05,2.28416e-05,2.28416e-05
5,1.45083,1.11168,3.75155,1.38403,0.01734,0.62963,0.03771,0.00849,0.54304,3.98169,1.14543,3.0354e-05,3.0354e-05,3.0354e-05
6,1.7487,0.94742,4.1748,1.44597,0.0163,0.61111,0.0525,0.01368,0.50453,3.96539,1.09752,3.78156e-05,3.78156e-05,3.78156e-05
7,2.02949,0.7636,4.07103,1.25474,0.0163,0.61111,0.0525,0.01368,0.50453,3.96539,1.09752,4.52264e-05,4.52264e-05,4.52264e-05
8,2.32292,0.91274,3.95806,1.3512,0.01874,0.62963,0.05592,0.01806,0.55112,3.91586,1.07555,5.25865e-05,5.25865e-05,5.25865e-05
9,2.59142,0.85522,3.84959,1.20814,0.01874,0.62963,0.05592,0.01806,0.55112,3.91586,1.07555,5.98959e-05,5.98959e-05,5.98959e-05
10,2.94452,0.70393,3.96967,1.12834,0.02774,0.62963,0.05542,0.02281,0.63335,3.82857,1.06494,6.71545e-05,6.71545e-05,6.71545e-05
11,3.28031,0.68098,3.80464,1.06072,0.02774,0.62963,0.05542,0.02281,0.63335,3.82857,1.06494,7.43623e-05,7.43623e-05,7.43623e-05
12,3.56656,0.73232,3.70476,1.04594,0.03274,0.66667,0.05856,0.02637,0.68489,3.73793,1.04562,8.15194e-05,8.15194e-05,8.15194e-05
13,3.91255,0.77531,3.6228,1.02357,0.03274,0.66667,0.05856,0.02637,0.68489,3.73793,1.04562,8.86257e-05,8.86257e-05,8.86257e-05
14,4.19041,0.58289,3.73819,0.98009,0.03981,0.74074,0.08321,0.04979,0.60521,3.41802,0.92321,9.56813e-05,9.56813e-05,9.56813e-05
15,4.46438,0.69802,3.53089,0.9671,0.03981,0.74074,0.08321,0.04979,0.60521,3.41802,0.92321,0.000102686,0.000102686,0.000102686
16,4.74136,0.57974,3.57408,0.97084,0.0281,0.68519,0.12351,0.10577,0.56491,3.31125,0.8634,0.00010964,0.00010964,0.00010964
17,5.00095,0.55762,3.41691,0.95353,0.0281,0.68519,0.12351,0.10577,0.56491,3.31125,0.8634,0.000116543,0.000116543,0.000116543
18,5.27034,0.47386,3.47353,0.95666,0.0281,0.68519,0.12351,0.10577,0.56491,3.31125,0.8634,0.000123396,0.000123396,0.000123396
19,5.56047,0.54095,3.46972,0.93239,0.03216,0.7037,0.15372,0.13224,0.63782,3.3237,0.86647,0.000130198,0.000130198,0.000130198
20,5.8423,0.49487,3.41367,0.92282,0.03216,0.7037,0.15372,0.13224,0.63782,3.3237,0.86647,0.000136949,0.000136949,0.000136949
21,6.17898,0.56679,3.55719,0.93099,0.03216,0.7037,0.15372,0.13224,0.63782,3.3237,0.86647,0.000143649,0.000143649,0.000143649
22,6.5246,0.64289,3.54938,0.95569,0.05028,0.75926,0.13806,0.11232,0.62336,3.30979,0.8623,0.000150299,0.000150299,0.000150299
23,6.78626,0.48157,3.26768,0.89378,0.05028,0.75926,0.13806,0.11232,0.62336,3.30979,0.8623,0.000156898,0.000156898,0.000156898
24,7.04967,0.58119,3.44545,0.9543,0.05028,0.75926,0.13806,0.11232,0.62336,3.30979,0.8623,0.000163446,0.000163446,0.000163446
25,7.3314,0.55235,3.4363,0.90533,0.06531,0.83333,0.18784,0.16791,0.50246,3.28701,0.84165,0.000169943,0.000169943,0.000169943
26,7.5933,0.59393,3.35983,0.9149,0.06531,0.83333,0.18784,0.16791,0.50246,3.28701,0.84165,0.000176389,0.000176389,0.000176389
27,7.85665,0.53221,3.32607,0.91946,0.06531,0.83333,0.18784,0.16791,0.50246,3.28701,0.84165,0.000182785,0.000182785,0.000182785
28,8.1231,0.49867,3.30816,0.92208,0.06531,0.83333,0.18784,0.16791,0.50246,3.28701,0.84165,0.00018913,0.00018913,0.00018913
29,8.4554,0.49151,3.38133,0.89628,0.05797,0.83333,0.18083,0.16488,0.41898,3.27494,0.83099,0.000195424,0.000195424,0.000195424
30,8.72408,0.45929,3.21049,0.90964,0.05797,0.83333,0.18083,0.16488,0.41898,3.27494,0.83099,0.000201668,0.000201668,0.000201668
31,8.992,0.45872,3.21853,0.87958,0.05797,0.83333,0.18083,0.16488,0.41898,3.27494,0.83099,0.000207861,0.000207861,0.000207861
32,9.25464,0.52925,3.27377,0.91468,0.05797,0.83333,0.18083,0.16488,0.41898,3.27494,0.83099,0.000214003,0.000214003,0.000214003
33,9.5295,0.55379,3.27394,0.92545,0.05897,0.88889,0.22174,0.19845,0.45161,3.26934,0.83911,0.000220094,0.000220094,0.000220094
34,9.81548,0.5289,3.19398,0.94898,0.05897,0.88889,0.22174,0.19845,0.45161,3.26934,0.83911,0.000226134,0.000226134,0.000226134
35,10.0905,0.40838,3.13385,0.86015,0.05897,0.88889,0.22174,0.19845,0.45161,3.26934,0.83911,0.000232124,0.000232124,0.000232124
36,10.4129,0.56406,3.23178,0.95332,0.05897,0.88889,0.22174,0.19845,0.45161,3.26934,0.83911,0.000238063,0.000238063,0.000238063
37,10.6955,0.4856,3.11993,0.90486,0.05749,0.92593,0.2328,0.20907,0.48023,3.2597,0.84452,0.000243951,0.000243951,0.000243951
