epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.433504,0.90678,4.23321,1.47089,0.01745,0.59259,0.02918,0.00507,0.63728,3.98347,1.19139,0,0,0
2,0.745017,1.02033,4.18545,1.53014,0.01673,0.59259,0.02533,0.00433,0.63035,3.98374,1.19531,7.67477e-06,7.67477e-06,7.67477e-06
3,1.07671,0.84073,4.06043,1.37591,0.01596,0.61111,0.02462,0.00444,0.62848,3.98216,1.19775,1.53191e-05,1.53191e-05,1.53191e-05
4,1.37122,1.10669,4.0573,1.53772,0.01395,0.59259,0.02947,0.00643,0.54695,3.98177,1.14874,2.2933e-05,2.2933e-05,2.2933e-05
5,1.70972,1.11501,3.74322,1.3761,0.01418,0.59259,0.02913,0.0078,0.53461,3.98137,1.13962,3.05164e-05,3.05164e-05,3.05164e-05
6,2.03345,0.94314,4.16748,1.43892,0.01454,0.59259,0.05467,0.01422,0.5035,3.96799,1.09651,3.80693e-05,3.80693e-05,3.80693e-05
7,2.32596,0.75902,4.06997,1.25282,0.02065,0.64815,0.0726,0.02405,0.54748,3.90098,1.07295,4.55919e-05,4.55919e-05,4.55919e-05
8,2.60646,0.91814,3.867,1.25953,0.02098,0.64815,0.07838,0.02807,0.5957,3.84666,1.06237,5.30839e-05,5.30839e-05,5.30839e-05
9,2.89427,0.77661,3.77919,1.13294,0.02674,0.64815,0.05359,0.02374,0.63897,3.81311,1.05455,6.05455e-05,6.05455e-05,6.05455e-05
10,3.16436,0.64709,3.79464,1.01647,0.02917,0.68519,0.0705,0.037,0.66051,3.74587,1.01926,6.79767e-05,6.79767e-05,6.79767e-05
11,3.44436,0.59249,3.7088,0.99855,0.02815,0.68519,0.06911,0.03937,0.62671,3.50451,0.93863,7.53774e-05,7.53774e-05,7.53774e-05
12,3.80038,0.5605,3.5835,0.95683,0.02658,0.7037,0.07892,0.05676,0.57101,3.33575,0.87548,8.27476e-05,8.27476e-05,8.27476e-05
13,4.083,0.5586,3.52716,0.94643,0.02556,0.7037,0.08669,0.07221,0.59823,3.30631,0.85838,9.00874e-05,9.00874e-05,9.00874e-05
14,4.3685,0.56767,3.57888,0.93046,0.02434,0.68519,0.11508,0.09788,0.64461,3.30642,0.86248,9.73968e-05,9.73968e-05,9.73968e-05
15,4.65301,0.51304,3.39375,0.91059,0.02747,0.7037,0.11566,0.09343,0.67512,3.30458,0.86615,0.000104676,0.000104676,0.000104676
16,4.9318,0.48997,3.41921,0.93848,0.03742,0.74074,0.11493,0.09315,0.65118,3.29597,0.85948,0.000111924,0.000111924,0.000111924
17,5.2133,0.47068,3.29007,0.90678,0.04036,0.75926,0.13564,0.11454,0.59615,3.28512,0.84642,0.000119142,0.000119142,0.000119142
18,5.4953,0.46091,3.28745,0.92401,0.04807,0.7963,0.1745,0.15704,0.47908,3.28297,0.8289,0.00012633,0.00012633,0.00012633
19,5.82881,0.49806,3.29073,0.9196,0.05553,0.85185,0.19432,0.18033,0.41237,3.27864,0.82177,0.000133487,0.000133487,0.000133487
20,6.2187,0.40693,3.23637,0.89866,0.05338,0.87037,0.18975,0.17763,0.37269,3.27753,0.82022,0.000140613,0.000140613,0.000140613
21,6.5547,0.46005,3.29998,0.89083,0.05084,0.88889,0.19729,0.18275,0.38867,3.27577,0.82169,0.00014771,0.00014771,0.00014771
22,6.83521,0.5305,3.25256,0.93242,0.0579,0.92593,0.2,0.18268,0.42306,3.27158,0.82496,0.000154775,0.000154775,0.000154775
23,7.1154,0.54345,3.0985,0.92506,0.0598,0.96296,0.2079,0.19036,0.42511,3.26829,0.82585,0.000161811,0.000161811,0.000161811
24,7.4084,0.554,3.16829,0.9329,0.05635,0.98148,0.21999,0.19886,0.44917,3.26305,0.8305,0.000168815,0.000168815,0.000168815
25,7.6879,0.51268,3.08075,0.88036,0.05559,1,0.24824,0.22206,0.47573,3.26124,0.83563,0.00017579,0.00017579,0.00017579
26,7.97478,0.55621,3.0549,0.89376,0.05434,1,0.2664,0.23963,0.4384,3.25824,0.82906,0.000182734,0.000182734,0.000182734
27,8.32029,0.49826,3.02192,0.90216,0.05516,1,0.28431,0.2597,0.39373,3.25275,0.82152,0.000189647,0.000189647,0.000189647
28,8.6023,0.44544,3.02615,0.91319,0.05554,1,0.30704,0.27924,0.39515,3.24855,0.82367,0.00019653,0.00019653,0.00019653
29,8.8793,0.45362,2.99885,0.87476,0.05668,1,0.32499,0.29259,0.41399,3.24095,0.8323,0.000203383,0.000203383,0.000203383
30,9.15857,0.45827,2.77389,0.90567,0.05549,1,0.36967,0.33362,0.42707,3.23286,0.83806,0.000210205,0.000210205,0.000210205
31,9.44657,0.4688,2.74331,0.86707,0.05608,1,0.3957,0.36213,0.4035,3.21934,0.83017,0.000216996,0.000216996,0.000216996
32,9.73107,0.52971,2.89848,0.92035,0.0563,1,0.46326,0.4236,0.42756,3.20509,0.82948,0.000223758,0.000223758,0.000223758
33,10.0178,0.53167,2.84897,0.89876,0.057,1,0.48212,0.43629,0.47749,3.19166,0.83738,0.000230488,0.000230488,0.000230488
34,10.3023,0.54116,2.71839,0.95839,0.05673,1,0.51095,0.45327,0.52082,3.17951,0.84803,0.000237189,0.000237189,0.000237189
35,10.6928,0.47163,2.66233,0.86843,0.0559,1,0.51471,0.45524,0.50003,3.16862,0.84494,0.000243859,0.000243859,0.000243859
36,11.0385,0.55066,2.58378,0.94322,0.05605,1,0.52943,0.47797,0.45024,3.15047,0.83578,0.000250498,0.000250498,0.000250498
37,11.3705,0.4232,2.50361,0.90939,0.0547,1,0.49973,0.4566,0.40427,3.13379,0.82536,0.000257107,0.000257107,0.000257107
38,11.645,0.49439,2.63785,0.91126,0.05452,1,0.54079,0.49226,0.38552,3.11542,0.81859,0.000263685,0.000263685,0.000263685
39,11.918,0.60471,2.55898,0.96669,0.05309,1,0.59597,0.54156,0.37707,3.09755,0.81586,0.000270233,0.000270233,0.000270233
40,12.1921,0.44181,2.40305,0.89768,0.05346,1,0.59504,0.55401,0.35553,3.07903,0.8136,0.000276751,0.000276751,0.000276751
41,12.4771,0.49689,2.48959,0.90189,0.05515,1,0.58233,0.53954,0.35073,3.0778,0.81416,0.000283238,0.000283238,0.000283238
42,12.8216,0.54971,2.3479,0.94132,0.0607,1,0.57428,0.53445,0.36945,3.08284,0.81676,0.000289695,0.000289695,0.000289695
43,13.0893,0.49438,2.28733,0.94114,0.06441,1,0.56166,0.51693,0.37466,3.09212,0.81923,0.000296121,0.000296121,0.000296121
44,13.3828,0.51388,2.25323,0.92198,0.06959,1,0.6002,0.558,0.38082,3.08874,0.82282,0.000302517,0.000302517,0.000302517
45,13.6688,0.66012,1.9181,1.13667,0.07025,1,0.56284,0.52802,0.36195,3.07423,0.82414,0.000308882,0.000308882,0.000308882
46,13.9405,0.64372,2.11297,1.11831,0.06367,1,0.54023,0.50492,0.37527,3.03608,0.8292,0.000315217,0.000315217,0.000315217
47,14.206,0.52202,1.97007,0.95788,0.05703,1,0.58199,0.53566,0.41031,2.99923,0.83873,0.000321521,0.000321521,0.000321521
48,14.478,0.52243,2.04601,0.93356,0.05165,1,0.59746,0.56255,0.39889,2.97423,0.84629,0.000327795,0.000327795,0.000327795
49,14.7595,0.67234,2.14585,1.13048,0.04819,1,0.61746,0.58203,0.39079,2.9606,0.84918,0.000334039,0.000334039,0.000334039
50,15.0966,0.56677,1.85492,0.94628,0.04776,1,0.58607,0.55212,0.38238,2.97317,0.85323,0.000340252,0.000340252,0.000340252
51,15.3846,0.52454,1.68418,0.91123,0.04889,1,0.514,0.49033,0.36062,2.99733,0.84999,0.000346435,0.000346435,0.000346435
52,15.6751,0.5244,1.69915,1.02717,0.04848,1,0.55122,0.52186,0.37221,2.97583,0.84726,0.000352587,0.000352587,0.000352587
53,16.0137,0.55504,1.81825,0.95795,0.0494,1,0.58331,0.54176,0.37972,2.91102,0.84254,0.000358708,0.000358708,0.000358708
54,16.3342,0.60305,1.61439,0.98976,0.0523,1,0.63365,0.58639,0.38234,2.83252,0.84211,0.0003648,0.0003648,0.0003648
55,16.6177,0.50484,1.53719,1.09508,0.05094,1,0.66087,0.60532,0.40468,2.75609,0.8516,0.00037086,0.00037086,0.00037086
56,16.9037,0.49858,1.60801,0.93236,0.04977,1,0.67697,0.62063,0.41715,2.69664,0.86087,0.000376891,0.000376891,0.000376891
57,17.2358,0.52577,1.44602,0.94477,0.04859,1,0.67614,0.6212,0.40704,2.6474,0.85453,0.000382891,0.000382891,0.000382891
58,17.5238,0.4791,1.5638,0.87538,0.05026,1,0.67833,0.63499,0.36765,2.62783,0.83745,0.00038886,0.00038886,0.00038886
59,17.8036,0.51588,1.37871,0.96351,0.05301,1,0.68705,0.64367,0.34587,2.64093,0.83606,0.000394799,0.000394799,0.000394799
60,18.1027,0.47929,1.31987,0.90775,0.05421,1,0.68433,0.64251,0.3468,2.65038,0.83957,0.000400708,0.000400708,0.000400708
61,18.3827,0.57574,1.32197,1.04065,0.96709,0.13344,0.66998,0.63852,0.33287,2.64446,0.83865,0.000406586,0.000406586,0.000406586
62,18.6557,0.50227,1.27485,0.94269,0.05377,1,0.70418,0.66211,0.34979,2.62601,0.85004,0.000412433,0.000412433,0.000412433
63,18.9424,0.47151,1.17424,0.8908,0.05304,1,0.72106,0.66395,0.39649,2.61633,0.87037,0.00041825,0.00041825,0.00041825
