                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1565,                 2.7359,                 1.5897,                 1.1795,                0.58857,                0.55586,                0.58895,                0.44015,                0.56977,                0.52175,                0.55097,                0.36511,                 1.0866,                 2.4576,                 1.1542,                 1.1235,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1228,                 2.6126,                 1.4764,                 1.1632,                0.64124,                  0.545,                0.60798,                0.44817,                0.61603,                0.52458,                0.56586,                0.37458,                 1.0806,                 2.4343,                 1.1282,                  1.119,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1218,                 2.6668,                  1.428,                 1.1393,                0.63752,                0.56625,                0.61965,                0.46192,                0.61343,                0.53582,                0.57833,                0.38652,                 1.0719,                 2.4162,                 1.1048,                 1.1155,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1548,                 2.6286,                 1.4274,                 1.1598,                0.66698,                0.56484,                0.63576,                0.47622,                0.63675,                0.53461,                0.58708,                0.39237,                 1.0617,                 2.3944,                 1.0792,                 1.1083,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.0665,                 2.4848,                 1.2646,                 1.1332,                0.69653,                0.58867,                 0.6559,                0.49489,                0.66517,                0.56008,                 0.6119,                0.40672,                   1.05,                 2.3706,                 1.0574,                 1.1017,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.0607,                 2.6062,                 1.3081,                 1.1223,                0.74645,                0.58636,                0.68177,                0.51681,                 0.7152,                0.55779,                0.63551,                0.42473,                 1.0426,                 2.3421,                 1.0173,                 1.0949,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0854,                 2.4875,                 1.2164,                 1.1344,                 0.7377,                0.61508,                0.69307,                 0.5263,                0.69961,                0.57466,                0.64154,                0.43335,                 1.0405,                 2.3222,                0.98786,                 1.0924,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0473,                   2.41,                 1.1974,                 1.1176,                0.72588,                0.61515,                0.69801,                0.52991,                0.68298,                0.58173,                0.65019,                0.43595,                  1.032,                 2.3052,                0.95588,                 1.0879,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0084,                 2.3326,                 1.1286,                 1.0856,                0.67195,                  0.638,                0.70385,                 0.5366,                 0.6386,                0.60723,                0.66239,                0.44417,                  1.017,                 2.2869,                0.92886,                   1.08,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0466,                 2.3882,                 1.2003,                 1.1315,                0.67969,                0.64657,                0.70458,                0.54538,                0.64671,                0.61933,                 0.6664,                0.44822,                 1.0019,                 2.2657,                0.91163,                 1.0733,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0208,                  2.399,                 1.1264,                 1.1089,                0.72999,                 0.6211,                0.71404,                   0.55,                0.69236,                0.57479,                0.65911,                0.45025,                0.99269,                 2.2277,                0.89375,                 1.0681,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0404,                 2.4569,                 1.1533,                 1.1176,                0.72093,                0.62727,                0.71475,                0.55026,                0.72143,                0.57268,                0.66198,                0.44708,                0.98797,                 2.2075,                0.88164,                  1.064,             0.00010074,             0.00010074,             0.00010074
                     13,                0.99612,                 2.2973,                  1.066,                  1.091,                0.72303,                0.66789,                0.73186,                  0.565,                0.70878,                0.62206,                0.67821,                0.46148,                0.98354,                 2.1833,                0.86297,                 1.0602,             0.00010486,             0.00010486,             0.00010486
                     14,                 0.9941,                 2.2666,                 1.0638,                 1.1062,                0.76981,                0.65449,                0.74809,                0.57066,                0.76685,                0.62618,                0.70921,                 0.4709,                 0.9744,                 2.1642,                0.84597,                 1.0547,             0.00010486,             0.00010486,             0.00010486
                     15,                0.96847,                 2.2279,                 1.0392,                 1.0824,                0.80875,                0.65173,                0.75831,                0.57943,                0.78664,                0.62223,                0.71624,                0.47567,                0.96811,                 2.1493,                0.83465,                 1.0507,             0.00010368,             0.00010368,             0.00010368
