                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1565,                 2.7359,                 1.5897,                 1.1795,                0.58857,                0.55586,                0.58895,                0.44015,                0.56977,                0.52175,                0.55097,                0.36511,                 1.0866,                 2.4576,                 1.1542,                 1.1235,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1222,                 2.6134,                 1.4761,                 1.1632,                0.66218,                0.54392,                0.60451,                0.44804,                0.61724,                0.52096,                0.56572,                0.37568,                 1.0805,                 2.4351,                 1.1281,                 1.1191,             1.7791e-05,             1.7791e-05,             1.7791e-05
                      3,                  1.122,                 2.6657,                 1.4273,                 1.1392,                0.63521,                0.56758,                0.61885,                0.46187,                0.61275,                0.53595,                0.57777,                0.38546,                 1.0715,                 2.4165,                 1.1043,                 1.1154,             2.7189e-05,             2.7189e-05,             2.7189e-05
                      4,                 1.1547,                 2.6281,                 1.4254,                 1.1597,                0.66641,                0.56598,                0.63641,                0.47682,                0.58426,                0.56644,                0.58893,                0.39342,                 1.0621,                  2.394,                 1.0793,                 1.1083,             3.6525e-05,             3.6525e-05,             3.6525e-05
                      5,                  1.067,                 2.4822,                 1.2641,                 1.1331,                0.68948,                0.59215,                0.65636,                0.49796,                0.65871,                0.56343,                0.61027,                0.40768,                 1.0502,                 2.3664,                 1.0552,                 1.1022,             4.5797e-05,             4.5797e-05,             4.5797e-05
                      6,                 1.0599,                 2.6043,                 1.3067,                 1.1219,                0.74656,                0.58282,                0.68245,                0.51704,                 0.7104,                0.55613,                0.63597,                0.42531,                  1.041,                 2.3427,                 1.0139,                 1.0935,             5.5007e-05,             5.5007e-05,             5.5007e-05
                      7,                 1.0836,                 2.4838,                 1.2113,                 1.1337,                0.74781,                0.61134,                0.69483,                0.52686,                0.70034,                0.57746,                0.64435,                0.43324,                 1.0388,                 2.3222,                0.98486,                 1.0914,             6.4154e-05,             6.4154e-05,             6.4154e-05
                      8,                 1.0455,                 2.4097,                 1.1935,                 1.1157,                0.71453,                0.61611,                0.69663,                0.53027,                0.66948,                0.58136,                0.64385,                0.43351,                 1.0313,                 2.3076,                0.95003,                 1.0864,             7.3238e-05,             7.3238e-05,             7.3238e-05
                      9,                 1.0098,                 2.3306,                  1.127,                 1.0862,                0.69553,                0.63432,                0.70691,                0.54085,                 0.6474,                0.61199,                0.66074,                0.44531,                 1.0202,                 2.2871,                0.92686,                 1.0802,             8.2259e-05,             8.2259e-05,             8.2259e-05
                     10,                 1.0477,                  2.389,                 1.1969,                  1.132,                 0.6794,                0.64837,                0.71027,                0.54478,                0.64893,                 0.6201,                0.66831,                0.44864,                 1.0053,                 2.2676,                0.90926,                 1.0753,             9.1218e-05,             9.1218e-05,             9.1218e-05
                     11,                 1.0217,                 2.3968,                 1.1244,                 1.1086,                0.73761,                0.62441,                0.71409,                0.54776,                0.69763,                0.58171,                0.66147,                0.45156,                0.99435,                 2.2318,                0.89192,                 1.0701,             0.00010011,             0.00010011,             0.00010011
                     12,                 1.0376,                 2.4557,                  1.145,                 1.1164,                 0.7359,                0.63379,                0.71914,                0.55174,                  0.724,                0.58458,                0.66462,                0.45116,                0.99433,                 2.2112,                0.87969,                 1.0684,             0.00010895,             0.00010895,             0.00010895
                     13,                0.99661,                 2.2925,                 1.0573,                 1.0919,                 0.7519,                0.66928,                0.73698,                0.56276,                0.71399,                0.62452,                0.67957,                0.46251,                0.98461,                 2.1823,                0.85498,                 1.0636,             0.00011429,             0.00011429,             0.00011429
                     14,                0.99477,                 2.2625,                 1.0642,                 1.1059,                0.80101,                0.65279,                0.75373,                0.57449,                0.75782,                0.61349,                0.69419,                0.47102,                0.97716,                 2.1625,                0.84016,                 1.0595,             0.00011429,             0.00011429,             0.00011429
                     15,                0.96461,                 2.2224,                 1.0341,                 1.0799,                0.78568,                0.66251,                0.76134,                 0.5833,                0.73676,                0.62789,                0.70397,                0.47572,                0.97029,                 2.1427,                0.82845,                 1.0527,             0.00011389,             0.00011389,             0.00011389
                     16,                0.98332,                 2.2544,                 1.0339,                 1.0815,                0.76567,                 0.6957,                0.77152,                0.59008,                0.72475,                0.64791,                0.71908,                0.48126,                0.96166,                 2.1321,                0.80959,                 1.0444,              0.0001135,              0.0001135,              0.0001135
                     17,                 1.0068,                 2.2732,                 1.0229,                 1.0909,                 0.7944,                0.69048,                0.77746,                0.59697,                0.76642,                0.65225,                0.72051,                0.48355,                0.95095,                 2.1147,                0.79127,                 1.0369,             0.00011311,             0.00011311,             0.00011311
                     18,                 1.0196,                 2.2814,                 1.0023,                 1.0774,                0.80777,                0.70516,                0.78662,                0.59877,                0.78496,                0.65007,                0.72827,                0.48949,                0.94471,                 2.0986,                0.78038,                 1.0321,             0.00011272,             0.00011272,             0.00011272
                     19,                0.96637,                 2.2385,                 1.0056,                  1.083,                0.78652,                0.72998,                0.79084,                 0.6069,                0.73573,                0.67929,                0.73154,                0.49318,                0.93484,                 2.0792,                0.77023,                  1.027,             0.00011232,             0.00011232,             0.00011232
                     20,                 1.0062,                 2.2453,                 1.0178,                 1.0904,                 0.7873,                0.73545,                0.79614,                0.61726,                0.74064,                0.69684,                0.74354,                0.49842,                0.93068,                 2.0663,                0.76165,                 1.0266,             0.00011193,             0.00011193,             0.00011193
                     21,                 1.0038,                 2.3069,                 0.9568,                 1.0923,                0.82621,                0.72092,                 0.8049,                0.61796,                0.79219,                0.67998,                0.75259,                0.50358,                0.92921,                 2.0534,                0.75627,                 1.0239,             0.00011154,             0.00011154,             0.00011154
                     22,                0.97803,                 2.2531,                0.92114,                 1.0676,                 0.8358,                0.70993,                0.81112,                0.62531,                0.79966,                0.68327,                0.76129,                0.50935,                0.92415,                   2.04,                0.74562,                  1.022,             0.00011115,             0.00011115,             0.00011115
                     23,                0.95019,                 2.1296,                0.93688,                 1.0801,                0.83486,                0.71171,                0.82177,                0.63268,                0.79995,                0.68554,                0.75458,                0.51219,                0.91608,                 2.0208,                0.73644,                 1.0168,             0.00011075,             0.00011075,             0.00011075
                     24,                0.93213,                 2.1353,                  0.943,                 1.0539,                0.82892,                0.71703,                0.82548,                0.63759,                0.78854,                0.68583,                0.75915,                0.51397,                0.90586,                 2.0115,                0.72549,                 1.0119,             0.00011036,             0.00011036,             0.00011036
                     25,                 0.9355,                 2.0617,                0.87856,                 1.0574,                0.85243,                0.72556,                0.82849,                0.64219,                0.83658,                0.67231,                0.76561,                0.51598,                0.89641,                 1.9955,                0.71689,                 1.0071,             0.00010997,             0.00010997,             0.00010997
                     26,                0.99465,                 2.2363,                0.91322,                 1.0708,                0.87664,                0.72845,                0.82732,                0.64809,                0.84937,                0.68627,                0.77235,                0.52124,                0.88571,                  1.979,                0.70752,                 1.0034,             0.00010958,             0.00010958,             0.00010958
                     27,                0.93776,                 2.1275,                0.91115,                 1.0642,                 0.8476,                0.74892,                0.83066,                0.65278,                0.84027,                0.68589,                0.77265,                0.52544,                0.87636,                  1.969,                 0.7004,                0.99734,             0.00010918,             0.00010918,             0.00010918
                     28,                0.95342,                 2.1368,                 0.9141,                 1.0647,                0.87298,                0.72795,                0.83321,                0.66003,                0.83175,                0.69897,                0.78241,                 0.5297,                0.86785,                 1.9539,                0.68693,                0.99263,             0.00010879,             0.00010879,             0.00010879
                     29,                 1.0266,                 2.2376,                0.96177,                 1.0704,                0.85452,                0.73846,                0.83517,                 0.6609,                0.83005,                0.70478,                0.77591,                0.52772,                0.86024,                 1.9417,                0.67886,                0.98926,              0.0001084,              0.0001084,              0.0001084
                     30,                0.90957,                 2.0023,                0.86049,                 1.0379,                0.88255,                0.73004,                0.83618,                0.66326,                0.84793,                0.70197,                0.78083,                0.53196,                0.86158,                 1.9342,                0.68112,                0.99105,               0.000108,               0.000108,               0.000108
                     31,                0.90859,                 2.0152,                0.85749,                 1.0392,                0.86533,                0.74602,                0.84015,                0.66674,                0.82564,                0.70618,                0.78888,                0.53418,                 0.8617,                 1.9333,                0.67696,                0.98934,             0.00010761,             0.00010761,             0.00010761
                     32,                0.91853,                 2.0411,                0.88064,                  1.033,                 0.8683,                0.74676,                0.85456,                0.67645,                0.87319,                0.71806,                0.79995,                0.54102,                0.85599,                 1.9183,                 0.6646,                 0.9839,             0.00010722,             0.00010722,             0.00010722
                     33,                0.95177,                 2.1929,                0.91051,                 1.0722,                 0.8507,                0.76451,                0.85853,                0.68211,                0.86903,                0.71359,                0.80209,                0.54559,                0.85144,                 1.9019,                0.65504,                0.97899,             0.00010683,             0.00010683,             0.00010683
                     34,                0.91657,                 2.1276,                0.83573,                 1.0353,                0.87811,                0.75828,                0.86216,                0.68668,                0.85923,                0.72858,                0.80848,                0.54524,                0.84663,                 1.8874,                0.65132,                0.97661,             0.00010643,             0.00010643,             0.00010643
                     35,                0.91317,                  2.065,                0.87047,                 1.0563,                0.87046,                0.77629,                0.86779,                0.68621,                0.84217,                0.73615,                0.80641,                0.54301,                0.84535,                 1.8834,                  0.647,                0.97756,             0.00010604,             0.00010604,             0.00010604
                     36,                0.91583,                 2.1222,                0.84729,                  1.058,                0.86242,                0.79504,                  0.863,                0.68826,                0.82319,                0.76013,                0.80956,                 0.5456,                0.84226,                 1.8785,                0.64394,                0.97722,             0.00010565,             0.00010565,             0.00010565
                     37,                0.91141,                 1.9917,                0.83976,                 1.0515,                 0.8689,                0.79773,                0.86384,                0.68555,                0.82337,                0.76239,                0.80562,                0.54698,                0.83997,                 1.8677,                0.64403,                0.97769,             0.00010526,             0.00010526,             0.00010526
                     38,                0.87272,                 1.9842,                0.83901,                 1.0353,                0.88601,                0.77495,                0.86387,                0.68447,                0.84032,                0.74459,                0.80824,                0.55078,                0.83415,                 1.8597,                0.63639,                0.97524,             0.00010486,             0.00010486,             0.00010486
                     39,                0.92542,                 2.0688,                0.81881,                 1.0424,                0.89335,                0.77976,                0.86682,                0.69375,                0.86519,                0.74671,                0.81227,                0.55489,                0.82863,                 1.8565,                0.62898,                0.97237,             0.00010447,             0.00010447,             0.00010447
                     40,                0.90111,                 2.0752,                 0.8244,                 1.0343,                0.89121,                0.78343,                0.87187,                0.69716,                0.86309,                0.74783,                0.81567,                0.55938,                0.82298,                 1.8477,                0.62631,                0.96932,             0.00010408,             0.00010408,             0.00010408
                     41,                0.87191,                 2.0331,                0.80624,                 1.0207,                0.86509,                 0.7821,                0.87706,                0.69805,                0.86224,                0.73655,                0.81197,                0.56243,                0.81579,                 1.8387,                0.62321,                0.96489,             0.00010368,             0.00010368,             0.00010368
                     42,                0.85186,                 1.9585,                0.77282,                 1.0184,                0.87282,                0.77916,                0.86737,                0.69816,                0.83377,                0.75139,                0.81585,                0.55903,                0.81314,                 1.8317,                0.62466,                0.96133,             0.00010329,             0.00010329,             0.00010329
                     43,                0.92237,                 2.0483,                 0.8316,                 1.0237,                   0.87,                0.78301,                0.87366,                0.69962,                0.86546,                0.74285,                0.82057,                0.56332,                0.81224,                 1.8291,                 0.6223,                0.96031,              0.0001029,              0.0001029,              0.0001029
                     44,                0.86778,                 2.0349,                0.81336,                  1.037,                0.89377,                0.76986,                0.87251,                0.70501,                0.87223,                0.74137,                0.82163,                0.56348,                0.80967,                 1.8268,                0.61451,                0.95758,             0.00010251,             0.00010251,             0.00010251
